tick,y,velX,velY,velZ,onGround,isFall
33505,133.0,0.04460570434688974,-0.0784000015258789,-0.10426952809607508,true,false
33506,133.0,0.024354717402266222,-0.0784000015258789,-0.05693116895316186,true,false
33507,133.0,0.013297677246197511,-0.0784000015258789,-0.03108442185896365,true,false
33508,133.0,0.0,-0.0784000015258789,-0.016972096306347734,true,false
33509,133.0,0.0,-0.0784000015258789,-0.009266765659625044,true,false
33510,133.0,0.0,-0.0784000015258789,-0.005059654637847455,true,false
33511,133.0,-0.059122448636830145,-0.0784000015258789,0.03388694876679407,true,false
33512,133.0,-0.09052986202182874,-0.0784000015258789,0.05652470682163467,true,false
33513,133.41999998688698,-0.19198350855773663,0.33319999363422365,0.1387216114667656,false,false
33514,133.7531999805212,-0.1923577284033912,0.24813599859094576,0.1412702588714125,false,false
33515,134.00133597911216,-0.19133700786712024,0.16477328182606651,0.1450548992107037,false,false
33516,134.1661092609382,-0.1891604234486218,0.08307781780646721,0.149644041090344,false,false
33517,134.24918707874468,-0.1855778603956329,0.0030162615090425808,0.1550690375009433,false,false
33518,134.25220334025371,-0.18061078846539894,-0.07544406518948656,0.1611108049116828,false,false
33519,134.17675927506423,-0.17423326977035689,-0.15233518685055708,0.16758853258588474,false,false
33520,134.02442408821366,-0.16664974450301132,-0.22768848754498797,0.1742324817895115,false,false
33521,133.79673560066868,-0.15801097803009012,-0.30153472366278034,0.18084913704159358,false,false
33522,133.4952008770059,-0.14855526624608884,-0.3739040364667221,0.18726456490757937,false,false
33523,133.1212968405392,-0.13861608989555016,-0.4448259643949201,0.19334233878934162,false,false
33524,133.0,-0.12886640304601424,-0.0784000015258789,0.19896756047924372,true,false
33525,133.0,-0.07717917724214685,-0.0784000015258789,0.17786176259049796,true,false
33526,133.0,-0.04764269143754562,-0.0784000015258789,0.16645494531925792,true,false
33527,133.41999998688698,-0.0385821489495659,0.33319999363422365,0.2692024020221079,false,false
33528,133.7531999805212,-0.03662254879833901,0.24813599859094576,0.2681115904003959,false,false
33529,134.00133597911216,-0.03473947664709344,0.16477328182606651,0.26712526219511634,false,false
33530,134.1661092609382,-0.03289050613970915,0.08307781780646721,0.26623557146170773,false,false
33531,134.24918707874468,-0.03100591056541964,0.0030162615090425808,0.2654362186713256,false,false
33532,134.25220334025371,-0.0291376837804802,-0.07544406518948656,0.2647154151490093,false,false
