tick,x,y,z,velX,velY,velZ,onGround,isFall
233,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
234,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
235,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
236,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
237,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
238,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
239,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
240,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
241,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
242,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
243,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
244,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
245,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
246,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
247,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
248,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
249,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
250,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
251,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
252,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
253,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
254,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
255,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
256,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
257,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
258,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
259,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
260,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
261,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
262,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
263,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
264,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
265,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
266,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
267,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
268,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
269,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
270,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
271,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
272,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
273,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
274,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
275,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
276,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
277,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
278,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
279,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
280,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
281,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
282,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
283,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
284,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
285,-4.054021395438726,65.0,28.630600870000464,0.0,-0.0784000015258789,0.0,true,false
